#{"t_start": 1753846520.0343614, "env_id": "None"}
r,l,t
1889.4728,2834,2138.221334
2977.162,4000,2138.333159
552.208,749,2138.382298
635.11755,1657,2138.855819
541.7427,1296,2156.835853
2828.1987,4000,2171.893077
802.9658,1416,2172.688944
868.0605,1332,2172.787922
1080.9491,1755,2172.954916
559.00934,1662,2173.268841
2628.686,4000,2187.747444
2856.3674,4000,2187.968022
944.41956,1640,2188.114791
1411.1584,2550,2188.180079
2958.8362,4000,2203.617793
2136.209,3978,2205.365211
808.01874,1738,2218.612925
1191.3115,1700,2218.919028
2471.2576,3263,2219.100361
2806.5132,3702,2232.43718
3335.1392,4000,2232.984714
1376.0704,4000,2233.363031
2609.966,3707,2233.463552
1814.3882,2855,2248.858457
703.8545,1582,2264.172065
2853.59,3792,2264.357596
2834.7212,3743,2265.031794
770.4255,1215,2265.502293
1049.6663,1652,2265.831196
1977.859,4000,2279.544576
1692.1313,2464,2280.012629
2597.4727,3883,2280.331987
2259.9937,4000,2280.49718
2509.8481,4000,2280.860582
190.32227,609,2296.052791
2676.9678,4000,2296.315346
1715.7219,3221,2296.525061
585.5587,1589,2309.147115
3334.3633,4000,2309.34312
2238.4402,3197,2310.351304
1500.3524,1942,2310.629725
1922.2819,3607,2324.268643
1827.3961,2421,2324.711812
1407.7139,2145,2338.867069
1420.5427,2627,2338.912226
349.04553,1282,2339.019793
1969.2596,3442,2339.351221
589.3407,1745,2339.63917
146.23352,415,2340.204129
261.83002,524,2340.448376
1404.927,2227,2353.114388
1113.599,1995,2353.218449
2727.3337,4000,2354.392713
2548.1082,4000,2354.575735
2011.4802,3283,2354.631988
2068.4604,3511,2355.529912
1341.1279,2391,2370.512946
1287.8737,1542,2371.271579
2856.6091,4000,2385.399837
1214.8298,2002,2385.711979
257.4483,717,2385.888931
819.84814,1439,2397.406071
1537.7052,2039,2398.967016
388.1981,551,2399.246314
1806.3481,3802,2399.304752
2163.8345,2912,2399.47388
1556.1849,2456,2399.65396
1628.2588,2260,2399.709822
743.2275,1633,2399.795469
1651.3296,2665,2413.448135
660.4231,872,2413.598978
2301.6804,4000,2414.097916
2508.1494,3165,2414.161751
3017.7725,4000,2426.388507
3277.1543,4000,2426.871358
1232.2648,1766,2427.181583
933.2637,1697,2427.446332
1828.2781,4000,2439.769194
922.52856,2436,2455.800102
1157.616,2661,2456.210419
2148.7346,3074,2469.676494
1095.7169,2097,2469.766568
1575.1912,2475,2469.97036
1416.1078,2744,2483.246166
774.5105,1308,2485.352401
2397.4463,3378,2485.404517
3265.3196,4000,2485.484583
694.59064,2889,2485.774258
2318.9763,4000,2485.774301
403.83954,661,2499.891918
3099.433,4000,2500.002415
2275.9802,4000,2500.052847
794.8335,1254,2500.867593
3345.0603,4000,2501.032338
2558.5278,4000,2514.230254
3099.4648,4000,2515.19214
1107.5001,1436,2528.583641
445.6509,2660,2528.785526
1035.1968,1503,2529.156722
735.80743,4000,2529.6679
953.6858,1841,2530.108648
825.1558,1921,2545.396883
2021.041,2124,2545.953729
979.35986,2375,2546.062721
1010.7377,1558,2559.995395
979.4803,1507,2560.365768
3209.2024,3816,2560.432907
1461.3729,2186,2560.814956
1227.6049,4000,2561.050604
1934.2689,2849,2574.632226
645.30884,1068,2574.834103
939.1969,1910,2575.112127
3149.792,4000,2588.633338
567.5485,1136,2589.872816
656.96814,4000,2590.051024
1384.1757,2046,2590.591214
3032.7363,4000,2591.119824
1078.4614,1811,2603.718116
1691.5443,2902,2604.401486
789.62573,1862,2617.782027
1017.8859,1816,2618.099377
1787.068,3575,2618.220754
2435.0898,4000,2618.418218
2633.9229,3558,2618.6631
1474.738,2136,2618.899906
531.87634,1005,2618.952933
883.79865,1542,2650.8953
2914.9673,4000,2651.148472
1379.9364,2205,2651.566633
3195.2568,4000,2651.925681
2917.9397,4000,2665.26345
538.7885,840,2666.360735
1250.307,2241,2666.519821
1556.7058,2218,2666.701074
2792.7278,3923,2682.040884
1404.362,2389,2682.16885
2100.3494,4000,2682.644729
3072.521,4000,2683.67509
3390.9573,4000,2684.222421
2115.5486,2995,2695.943009
431.62335,867,2696.578158
957.0754,1252,2696.928677
3545.9988,4000,2697.308751
718.1317,1480,2711.063254
2556.4395,3759,2711.159874
2931.848,4000,2711.753265
1048.2279,1886,2712.508502
1521.3016,2420,2712.59283
1349.1876,1919,2727.902763
349.85397,997,2728.013161
2611.4666,3436,2744.663462
1825.9867,2181,2745.183691
2274.8591,4000,2745.517199
2965.9353,4000,2757.837465
1194.8436,1564,2758.315934
1965.751,3038,2758.37075
2006.2141,2693,2773.419723
2397.918,3743,2773.770201
1728.8235,2626,2773.868256
2191.2075,4000,2789.735158
1924.8651,3730,2790.141766
1151.7489,2136,2790.635408
1950.5869,3766,2790.969308
1480.7073,4000,2804.883442
845.3104,2047,2805.232949
3337.0403,4000,2819.067335
3302.467,4000,2819.82026
1836.0981,3140,2819.863712
2697.1973,4000,2819.966628
978.15674,1344,2820.632433
2343.268,3468,2836.492855
3018.9517,4000,2851.464007
1382.9553,2181,2851.580334
1274.6713,1775,2851.907687
1680.4102,4000,2851.973467
2023.4092,3354,2852.80618
1787.8711,2999,2853.042259
2844.3506,4000,2867.730881
3118.3005,4000,2868.073154
1818.8431,2371,2883.145283
3632.9712,4000,2884.691561
2181.295,3010,2901.069662
1607.9447,4000,2901.573775
1493.6892,2497,2901.727125
2163.0298,3409,2902.156909
911.9689,4000,2917.829009
601.69336,4000,2933.84662
2223.1455,2908,2950.897013
1238.1299,2205,2950.964943
2655.0757,4000,2951.331765
3268.4573,4000,2951.432379
3314.1846,4000,2951.776012
605.6378,4000,2951.855294
541.9744,1410,2951.974097
1759.9325,2387,2966.783517
3692.9614,4000,2966.829169
3321.3135,4000,2967.056886
1819.8501,3167,2967.198114
2830.7954,3561,2967.418171
2318.8594,2892,2982.819778
3313.357,3644,2999.985032
3061.344,4000,3001.105143
910.8278,2280,3015.578011
2046.0963,2793,3016.247072
1792.8987,4000,3032.901707
1335.962,3225,3048.6672
948.2082,1346,3048.917871
2348.5505,4000,3049.265277
3498.8298,4000,3049.626826
1046.5493,2126,3049.689
